Epoch 001 | Train Loss: 42616074.7393 | Train MAE: 6286.9990 | Val MAE: 6274.0762 | Val RMSE: 6424.2090
Epoch 002 | Train Loss: 30878919.9789 | Train MAE: 2470.2368 | Val MAE: 2458.1965 | Val RMSE: 2794.1023
Epoch 003 | Train Loss: 2622191.9336 | Train MAE: 999.8353 | Val MAE: 992.8172 | Val RMSE: 1183.3367
Epoch 004 | Train Loss: 858859.2404 | Train MAE: 633.7660 | Val MAE: 633.4562 | Val RMSE: 758.0151
Epoch 005 | Train Loss: 450762.6185 | Train MAE: 467.7723 | Val MAE: 465.9366 | Val RMSE: 572.5135
Epoch 006 | Train Loss: 270646.8651 | Train MAE: 366.1220 | Val MAE: 362.7441 | Val RMSE: 454.6003
Epoch 007 | Train Loss: 182462.8503 | Train MAE: 308.7099 | Val MAE: 305.0403 | Val RMSE: 386.1063
Epoch 008 | Train Loss: 139029.4817 | Train MAE: 275.9388 | Val MAE: 271.2221 | Val RMSE: 345.9466
Epoch 009 | Train Loss: 116287.2858 | Train MAE: 254.6772 | Val MAE: 249.6379 | Val RMSE: 321.1070
Epoch 010 | Train Loss: 102295.2606 | Train MAE: 239.0601 | Val MAE: 233.9081 | Val RMSE: 304.1550
Epoch 011 | Train Loss: 92388.6489 | Train MAE: 225.4096 | Val MAE: 220.7733 | Val RMSE: 290.9019
Epoch 012 | Train Loss: 84543.7446 | Train MAE: 214.9070 | Val MAE: 210.4724 | Val RMSE: 278.2321
Epoch 013 | Train Loss: 77520.7986 | Train MAE: 204.9092 | Val MAE: 201.0549 | Val RMSE: 267.6005
Epoch 014 | Train Loss: 71544.5657 | Train MAE: 193.7810 | Val MAE: 190.3146 | Val RMSE: 258.1733
Epoch 015 | Train Loss: 66338.8984 | Train MAE: 184.7853 | Val MAE: 181.4951 | Val RMSE: 248.9255
Epoch 016 | Train Loss: 61882.2998 | Train MAE: 178.3206 | Val MAE: 175.3429 | Val RMSE: 240.0986
Epoch 017 | Train Loss: 57680.3490 | Train MAE: 168.2982 | Val MAE: 165.9422 | Val RMSE: 232.9586
Epoch 018 | Train Loss: 54087.0372 | Train MAE: 163.5758 | Val MAE: 160.9155 | Val RMSE: 225.3548
Epoch 019 | Train Loss: 50946.2470 | Train MAE: 155.4084 | Val MAE: 153.1222 | Val RMSE: 218.9096
Epoch 020 | Train Loss: 48092.2357 | Train MAE: 149.1261 | Val MAE: 147.1516 | Val RMSE: 213.8411
Epoch 021 | Train Loss: 45707.9856 | Train MAE: 143.5554 | Val MAE: 141.6637 | Val RMSE: 208.0082
Epoch 022 | Train Loss: 43630.7221 | Train MAE: 140.2241 | Val MAE: 138.3743 | Val RMSE: 203.1465
Epoch 023 | Train Loss: 41466.2055 | Train MAE: 134.3283 | Val MAE: 132.8445 | Val RMSE: 198.7572
Epoch 024 | Train Loss: 39754.5184 | Train MAE: 129.4358 | Val MAE: 128.0035 | Val RMSE: 194.9957
Epoch 025 | Train Loss: 38048.6143 | Train MAE: 127.4426 | Val MAE: 126.0203 | Val RMSE: 191.3231
Epoch 026 | Train Loss: 36837.6042 | Train MAE: 120.2880 | Val MAE: 119.2717 | Val RMSE: 187.7077
Epoch 027 | Train Loss: 35414.7807 | Train MAE: 117.4174 | Val MAE: 116.5205 | Val RMSE: 185.6830
Epoch 028 | Train Loss: 34250.8211 | Train MAE: 113.7307 | Val MAE: 112.6909 | Val RMSE: 181.7777
Epoch 029 | Train Loss: 33241.4037 | Train MAE: 110.7647 | Val MAE: 109.8966 | Val RMSE: 179.0895
Epoch 030 | Train Loss: 32283.1658 | Train MAE: 107.8205 | Val MAE: 107.1039 | Val RMSE: 176.5580
Epoch 031 | Train Loss: 31426.2544 | Train MAE: 105.5345 | Val MAE: 105.0570 | Val RMSE: 174.7257
Epoch 032 | Train Loss: 30677.3647 | Train MAE: 101.6831 | Val MAE: 100.7209 | Val RMSE: 173.3263
Epoch 033 | Train Loss: 29988.1770 | Train MAE: 98.4624 | Val MAE: 97.9924 | Val RMSE: 170.8139
Epoch 034 | Train Loss: 29362.2345 | Train MAE: 96.8768 | Val MAE: 96.5942 | Val RMSE: 168.8981
