Ep 001 | loss 2020.7379 | tMAE 42.989 | vMAE 43.144 | vRMSE 44.085
Ep 002 | loss 1838.4964 | tMAE 40.593 | vMAE 40.757 | vRMSE 41.752
Ep 003 | loss 1605.2609 | tMAE 37.021 | vMAE 37.182 | vRMSE 38.288
Ep 004 | loss 1307.9756 | tMAE 32.526 | vMAE 32.646 | vRMSE 33.915
Ep 005 | loss 992.2045 | tMAE 27.324 | vMAE 27.395 | vRMSE 28.947
Ep 006 | loss 698.4714 | tMAE 21.634 | vMAE 21.778 | vRMSE 23.719
Ep 007 | loss 454.2998 | tMAE 16.234 | vMAE 16.329 | vRMSE 18.776
Ep 008 | loss 284.7719 | tMAE 12.108 | vMAE 12.323 | vRMSE 14.941
Ep 009 | loss 181.3687 | tMAE 9.944 | vMAE 10.031 | vRMSE 12.244
Ep 010 | loss 133.4117 | tMAE 8.916 | vMAE 9.200 | vRMSE 11.088
Ep 011 | loss 112.0170 | tMAE 8.556 | vMAE 8.717 | vRMSE 10.412
Ep 012 | loss 104.7821 | tMAE 8.440 | vMAE 8.424 | vRMSE 10.049
Ep 013 | loss 101.6406 | tMAE 8.394 | vMAE 8.525 | vRMSE 10.203
Ep 014 | loss 100.3270 | tMAE 8.438 | vMAE 8.667 | vRMSE 10.389
Ep 015 | loss 102.1563 | tMAE 8.467 | vMAE 8.483 | vRMSE 10.175
Ep 016 | loss 99.3670 | tMAE 8.444 | vMAE 8.408 | vRMSE 10.018
Ep 017 | loss 101.5166 | tMAE 8.448 | vMAE 8.585 | vRMSE 10.192
Ep 018 | loss 99.9243 | tMAE 8.322 | vMAE 8.521 | vRMSE 10.099
Ep 019 | loss 100.8779 | tMAE 8.417 | vMAE 8.630 | vRMSE 10.265
Ep 020 | loss 100.2305 | tMAE 8.329 | vMAE 8.534 | vRMSE 10.174
Ep 021 | loss 99.0492 | tMAE 8.347 | vMAE 8.676 | vRMSE 10.334
Ep 022 | loss 99.6748 | tMAE 8.343 | vMAE 8.541 | vRMSE 10.167
Ep 023 | loss 98.6204 | tMAE 8.377 | vMAE 8.453 | vRMSE 10.075
Ep 024 | loss 99.0730 | tMAE 8.350 | vMAE 8.495 | vRMSE 10.099
Ep 025 | loss 100.5236 | tMAE 8.308 | vMAE 8.370 | vRMSE 9.955
Ep 026 | loss 97.5036 | tMAE 8.317 | vMAE 8.349 | vRMSE 9.899
Ep 027 | loss 98.5832 | tMAE 8.284 | vMAE 8.577 | vRMSE 10.237
Ep 028 | loss 98.4295 | tMAE 8.411 | vMAE 8.541 | vRMSE 10.166
Ep 029 | loss 99.8383 | tMAE 8.303 | vMAE 8.465 | vRMSE 10.005
Ep 030 | loss 97.2220 | tMAE 8.262 | vMAE 8.574 | vRMSE 10.203
Ep 031 | loss 97.3863 | tMAE 8.204 | vMAE 8.429 | vRMSE 10.058
Ep 032 | loss 97.5656 | tMAE 8.300 | vMAE 8.402 | vRMSE 10.029
Ep 033 | loss 97.1348 | tMAE 8.291 | vMAE 8.379 | vRMSE 9.976
Ep 034 | loss 97.1741 | tMAE 8.271 | vMAE 8.432 | vRMSE 9.994
Ep 035 | loss 97.8263 | tMAE 8.225 | vMAE 8.499 | vRMSE 10.120
Ep 036 | loss 97.7810 | tMAE 8.170 | vMAE 8.465 | vRMSE 10.035
Ep 037 | loss 96.9771 | tMAE 8.299 | vMAE 8.492 | vRMSE 10.085
Ep 038 | loss 97.7100 | tMAE 8.161 | vMAE 8.417 | vRMSE 10.036
Ep 039 | loss 97.5813 | tMAE 8.218 | vMAE 8.433 | vRMSE 10.005
Ep 040 | loss 95.4639 | tMAE 8.240 | vMAE 8.600 | vRMSE 10.181
Ep 041 | loss 97.2519 | tMAE 8.194 | vMAE 8.459 | vRMSE 10.075
Ep 042 | loss 96.2085 | tMAE 8.295 | vMAE 8.608 | vRMSE 10.229
Ep 043 | loss 95.1310 | tMAE 8.181 | vMAE 8.554 | vRMSE 10.178
Ep 044 | loss 96.2629 | tMAE 8.165 | vMAE 8.513 | vRMSE 10.144
Ep 045 | loss 94.7368 | tMAE 8.231 | vMAE 8.462 | vRMSE 10.020
Ep 046 | loss 94.8063 | tMAE 8.234 | vMAE 8.438 | vRMSE 10.030
Early stopping at epoch 46
