iter	MultiClass
0	1.098208217
1	1.097792415
2	1.097646786
3	1.097462991
4	1.097052946
5	1.096769922
6	1.096522841
7	1.096428298
8	1.09588698
9	1.095515626
10	1.095161029
11	1.094745466
12	1.094518763
13	1.094472449
14	1.094198078
15	1.094070682
16	1.093783605
17	1.093562051
18	1.093285127
19	1.093164155
20	1.0930013
21	1.092530124
22	1.092530116
23	1.092173505
24	1.091858342
25	1.09171425
26	1.091637754
27	1.091437272
28	1.091329616
29	1.091284825
30	1.0911989
31	1.090824383
32	1.090518897
33	1.090368798
34	1.090365456
35	1.090255357
36	1.09007867
37	1.089786906
38	1.089773828
39	1.089623922
40	1.089548108
41	1.089548083
42	1.089297839
43	1.08929685
44	1.088778746
45	1.088408447
46	1.088144405
47	1.088048648
48	1.087970425
49	1.087954496
50	1.087954485
51	1.087603198
52	1.087104057
53	1.086953029
54	1.086497077
55	1.0863252
56	1.086018692
57	1.085986628
58	1.085920087
59	1.085769506
60	1.08535985
61	1.085082192
62	1.084939355
63	1.084850413
64	1.084626206
65	1.084531382
66	1.084217148
67	1.084007562
68	1.083922005
69	1.083902498
70	1.083626416
71	1.083427615
72	1.083273745
73	1.082818797
74	1.082457155
75	1.082241409
76	1.082205812
77	1.081940733
78	1.081718431
79	1.081392193
80	1.081390935
81	1.081155835
82	1.080731877
83	1.080216897
84	1.079674403
85	1.079409041
86	1.079230168
87	1.078993507
88	1.07883901
89	1.078508996
90	1.078196753
91	1.078071275
92	1.077638918
93	1.077531707
94	1.077396009
95	1.077165717
96	1.076928606
97	1.076656005
98	1.076079162
99	1.07598585
100	1.075629702
101	1.075469384
102	1.075203118
103	1.074777204
104	1.074658487
105	1.074478518
106	1.074311062
107	1.073759289
108	1.07371081
109	1.07369547
110	1.073213468
111	1.072987721
112	1.072981378
113	1.072485444
114	1.07235373
115	1.072135029
116	1.071840461
117	1.071773158
118	1.071472985
119	1.071410837
120	1.071328502
121	1.070878493
122	1.070653726
123	1.070554997
124	1.070323908
125	1.070061493
126	1.069941205
127	1.069771461
128	1.069701205
129	1.069271903
130	1.069202377
131	1.068804124
132	1.06857243
133	1.068454561
134	1.068235182
135	1.068055456
136	1.06783323
137	1.067711572
138	1.067356515
139	1.06709914
140	1.06682159
141	1.06669751
142	1.066584456
143	1.066465749
144	1.066046224
145	1.065762962
146	1.065414985
147	1.065329163
148	1.065234891
149	1.065081994
150	1.064729872
151	1.064718959
152	1.064472674
153	1.064194499
154	1.064191219
155	1.064138905
156	1.063824698
157	1.063550598
158	1.063420455
159	1.063198708
160	1.062991193
161	1.062721914
162	1.062258615
163	1.062103885
164	1.061850741
165	1.061779972
166	1.061465009
167	1.061354997
168	1.060820263
169	1.060701124
170	1.060630835
171	1.060178056
172	1.059707847
173	1.059396809
174	1.058755977
175	1.058457324
176	1.058319871
177	1.058058111
178	1.057970598
179	1.057714602
180	1.057411342
181	1.057092915
182	1.056615811
183	1.056154382
184	1.055825211
185	1.055724664
186	1.055659194
187	1.055295142
188	1.054917503
189	1.054421117
190	1.054221937
191	1.053635977
192	1.053104439
193	1.052909467
194	1.052630243
195	1.052096083
196	1.051918923
197	1.051574177
198	1.051401654
199	1.051177099
200	1.05076961
201	1.050571096
202	1.050181493
203	1.049918812
204	1.049459163
205	1.049161332
206	1.048817506
207	1.048577877
208	1.048078595
209	1.047727255
210	1.047211551
211	1.046701882
212	1.046293116
213	1.045746579
214	1.045375448
215	1.045151291
216	1.044764859
217	1.044457478
218	1.044117925
219	1.043534777
220	1.043330229
221	1.042972586
222	1.042693462
223	1.042398496
224	1.041862624
225	1.041633215
226	1.041238879
227	1.040561806
228	1.040106246
229	1.039720798
230	1.039477939
231	1.038992269
232	1.038670667
233	1.038408912
234	1.038271826
235	1.037796617
236	1.037349765
237	1.036852564
238	1.03633433
239	1.036066243
240	1.036025009
241	1.035467416
242	1.035147912
243	1.034935174
244	1.034626212
245	1.034283738
246	1.033892451
247	1.033556393
248	1.033132741
249	1.032624187
250	1.032336495
251	1.0318127
252	1.03148877
253	1.030922603
254	1.030688135
255	1.0303212
256	1.030023337
257	1.029737122
258	1.029341812
259	1.029058422
260	1.028864285
261	1.028470235
262	1.028145349
263	1.027774763
264	1.027281602
265	1.026779332
266	1.026452944
267	1.026267752
268	1.025895414
269	1.025572796
270	1.02517634
271	1.024738059
272	1.024328264
273	1.024105986
274	1.023846599
275	1.023632843
276	1.023443403
277	1.02288611
278	1.022690413
279	1.022264216
280	1.021955203
281	1.021652524
282	1.021245516
283	1.021011903
